Route Index: 1 - Episode: 30 - 0h, 5m, 26s - Average Reward -37.902 - Average IR 0.503 - Epsilon: 0.732
Route Index: 3 - Episode: 29 - 0h, 5m, 19s - Average Reward -37.967 - Average IR 0.505 - Epsilon: 0.74
Route Index: 0 - Episode: 31 - 0h, 5m, 34s - Average Reward -38.15 - Average IR 0.502 - Epsilon: 0.725
Route Index: 2 - Episode: 30 - 0h, 5m, 29s - Average Reward -37.546 - Average IR 0.5 - Epsilon: 0.732
Route Index: 4 - Episode: 29 - 0h, 5m, 19s - Average Reward -37.48 - Average IR 0.502 - Epsilon: 0.74
Route Index: 1 - Episode: 31 - 0h, 5m, 36s - Average Reward -37.89 - Average IR 0.501 - Epsilon: 0.725
Route Index: 3 - Episode: 30 - 0h, 5m, 29s - Average Reward -37.963 - Average IR 0.506 - Epsilon: 0.732
Route Index: 0 - Episode: 32 - 0h, 5m, 44s - Average Reward -38.154 - Average IR 0.501 - Epsilon: 0.718
Route Index: 2 - Episode: 31 - 0h, 5m, 39s - Average Reward -37.496 - Average IR 0.498 - Epsilon: 0.725
Route Index: 4 - Episode: 30 - 0h, 5m, 29s - Average Reward -37.507 - Average IR 0.503 - Epsilon: 0.732
Route Index: 1 - Episode: 32 - 0h, 5m, 47s - Average Reward -37.783 - Average IR 0.5 - Epsilon: 0.718
Route Index: 3 - Episode: 31 - 0h, 5m, 39s - Average Reward -37.965 - Average IR 0.504 - Epsilon: 0.725
Route Index: 0 - Episode: 33 - 0h, 5m, 55s - Average Reward -38.052 - Average IR 0.503 - Epsilon: 0.711
Route Index: 2 - Episode: 32 - 0h, 5m, 49s - Average Reward -37.507 - Average IR 0.498 - Epsilon: 0.718
Route Index: 4 - Episode: 31 - 0h, 5m, 39s - Average Reward -37.545 - Average IR 0.501 - Epsilon: 0.725
Route Index: 1 - Episode: 33 - 0h, 5m, 57s - Average Reward -37.957 - Average IR 0.502 - Epsilon: 0.711
Route Index: 3 - Episode: 32 - 0h, 5m, 50s - Average Reward -38.071 - Average IR 0.503 - Epsilon: 0.718
Route Index: 0 - Episode: 34 - 0h, 6m, 5s - Average Reward -38.193 - Average IR 0.502 - Epsilon: 0.703
Route Index: 2 - Episode: 33 - 0h, 6m, 0s - Average Reward -37.521 - Average IR 0.5 - Epsilon: 0.711
Route Index: 4 - Episode: 32 - 0h, 5m, 50s - Average Reward -37.539 - Average IR 0.5 - Epsilon: 0.718
Route Index: 1 - Episode: 34 - 0h, 6m, 7s - Average Reward -37.919 - Average IR 0.501 - Epsilon: 0.703
Route Index: 3 - Episode: 33 - 0h, 6m, 0s - Average Reward -38.002 - Average IR 0.506 - Epsilon: 0.711
Route Index: 0 - Episode: 35 - 0h, 6m, 15s - Average Reward -38.179 - Average IR 0.501 - Epsilon: 0.696
Route Index: 2 - Episode: 34 - 0h, 6m, 10s - Average Reward -37.495 - Average IR 0.498 - Epsilon: 0.703
Route Index: 4 - Episode: 33 - 0h, 6m, 0s - Average Reward -37.507 - Average IR 0.503 - Epsilon: 0.711
Route Index: 1 - Episode: 35 - 0h, 6m, 17s - Average Reward -37.88 - Average IR 0.5 - Epsilon: 0.696
Route Index: 3 - Episode: 34 - 0h, 6m, 10s - Average Reward -37.977 - Average IR 0.504 - Epsilon: 0.703
Route Index: 0 - Episode: 36 - 0h, 6m, 25s - Average Reward -38.165 - Average IR 0.503 - Epsilon: 0.689
Route Index: 2 - Episode: 35 - 0h, 6m, 20s - Average Reward -37.541 - Average IR 0.497 - Epsilon: 0.696
Route Index: 4 - Episode: 34 - 0h, 6m, 10s - Average Reward -37.487 - Average IR 0.501 - Epsilon: 0.703
